"","project_name","operator_name"
"1","Sage","Birchwood Resources Inc."
"2","Blackrod","Blackpearl Resources Inc."
"3","Kirby Expansion Project","Canadian Natural Resources Limited "
"4","Primrose, Wolf and Burnt Lakes","Canadian Natural Resources Limited "
"5","Grouse","Canadian Natural Resources Limited (CNRL)"
"6","Kirby Expansion Project","Canadian Natural Resources Limited (CNRL)"
"7","Primrose, Wolf and Burnt Lakes","Canadian Natural Resources Limited (CNRL)"
"8","Primrose, Wolf and Burnt Lakes","Canadian Natural Resources Limited - Primrose"
"9","West Kirby","Cenovus Energy Inc."
"10","Winefred Lake","Cenovus Energy Inc."
"11","Christina Lake","Cenovus FCCL Ltd."
"12","Foster Creek","Cenovus FCCL Ltd."
"13","Foster Creek North","Cenovus FCCL Ltd."
"14","Narrows Lake","Cenovus FCCL Ltd."
"15","Surmont","ConocoPhillips Canada"
"16","Surmont","ConocoPhillips Canada Resources Limited "
"17","Walleye","Devon Canada"
"18","Jackfish","Devon Canada Corporation"
"19","Jackfish East","Devon Canada Corporation"
"20","Jackfish","Devon Canada Corporation "
"21","Pike","Devon NEC Corporation"
"22","Foster Creek","EnCana "
"23","Christina Lake","Encana "
"24","Whitesands","Grizzly Oil Sands ULC"
"25","BlackGold","Harvest Operations Corp."
"26","Tucker Lake","Husky Energy "
"27","Caribou","Husky Oil Operations Limited"
"28","Tucker Lake","Husky Oil Operations Limited"
"29","Cold Lake Operations","Imperial Oil Resources"
"30","Cold Lake Operations","Imperial Oil Resources "
"31","Christina Lake Regional Project","MEG Energy Corp."
"32","May River","MEG Energy Corp."
"33","Surmont","MEG Energy Corp."
"34","Taiga","OSUM Oil Sands Corp."
"35","Mariana - Thornbury","PTT Exploration and Production Canada Ltd."
"36","South Leismer","PTT Exploration and Production Canada Ltd."
"37","Orion","Shell Canada Limited"
"38","Orion","Shell Canada Limited "
"39","Chard","Statoil Canada Ltd."
"40","Corner","Statoil Canada Ltd."
"41","Leismer","Statoil Canada Ltd."
"42","May River","Statoil Canada Ltd."
"43","Chard","Suncor Energy Inc."
"44","Whitesands","Whitesands Insitu Ltd."
